,,,,,,,,AWS Instances,,,,,,,Google instances,,,,,,,,
,Analysis,Samples,Variants,"Rel. matrix
    in NM",Test," Parallel
instances","Instance
type",Instance,Price/h,CPU,RAM (GB),Jobs,Time,Cost,Instance,Price/h,CPU,RAM (GB),Jobs,Time,Cost,,
,,,,,,,,,,,,,,,,,,,,,,,
Approx,Sliding window,50K,,w/o,fastSKAT,8,On Dm,r5.12xlarge,3.0,100,1,3,4 d,"$2,600",n1-standard-96,4.6,1,100,3,5 d,"$4,700",* Diffrence in price coupled with diffrence in execution time. ,
Approx,Sliding window,50K,,Sparse,fastSKAT,8,On Dm,r5.12xlarge,3.0,100,1,3,4 d,"$2,600",n1-standard-96,4.6,1,100,3,5 d,"$4,700",* Diffrence in price coupled with diffrence in execution time. ,
Approx,Sliding window,50K,,Dense,fastSKAT,8,On Dm,r5.12xlarge,3.0,186,1,2,12 d,"$7,000",n1-standard-96,4.6,1,100,3,30 d,"$26,300",* Much slower analysis on Google (for some reason),
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Sliding window,10K,,w/o,SKAT-O,8,On Dm,,,,,,,,,,,,,,,,
,Sliding window,10K,,Sparse,SKAT-O,8,On Dm,,,,,,,,,,,,,,,,
,Sliding window,10K,,Dense,SKAT-O,8,On Dm,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Sliding window,36K,,w/o,SKAT-O,8,On Dm,,,,,,,,,,,,,,,,
,Sliding window,36K,,Sparse,SMMAT,8,On Dm,,,,,,,,,,,,,,,,
,Sliding window,36K,,Dense,SMMAT,8,On Dm,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Sliding window,50K,,w/o,SKAT-O,8,On Dm,,,,,,,,,,,,,,,,
,Sliding window,50K,,Sparse,SMMAT,8,On Dm,,,,,,,,,,,,,,,,
,Sliding window,50K,,Dense,SMMAT,8,On Dm,,,,,,,,,,,,,,,,
